ticket_text,category,priority
"Website is completely down, cannot access dashboard - this is urgent, please help ASAP",Technical,high
"Can I customize the billing dashboard layout - this is urgent, please help ASAP",Product,medium
"My invoice shows an incorrect amount of $12.00, please fix it - this is critical, please help ASAP",Billing,high
"Website is completely down, cannot access dashboard - this is very time sensitive, please help ASAP",Technical,high
Is there a student discount available for the Premium tier,Product,low
Getting a 500 error when I try to upload a CSV file,Technical,medium
My account was suspended for no clear reason,Account,medium
"The mobile app is stuck on the loading screen since this morning - this is very time sensitive, please help ASAP",Technical,high
Subscription renewed automatically without my consent,Billing,medium
The mobile app is stuck on the loading screen since an hour ago,Technical,medium
I want to change the email address on my account to work@example.com,Account,low
"Can I use this software offline without internet - this is urgent, please help ASAP",Product,medium
The app keeps crashing every time I open the export tab,Technical,low
"Need a copy of my last twelve invoices for tax purposes - this is critical, please help ASAP",Billing,high
Please help me delete my account permanently,Account,low
Why was I billed after canceling my Enterprise plan,Billing,medium
"I cannot log into my account, it says invalid password",Technical,low
"What file formats are supported for export - this is critical, please help ASAP",Product,medium
I want to change the email address on my account to newmail@example.com,Account,low
"Someone else may have accessed my account without permission - this is urgent, please help ASAP",Account,medium
How many users can I add under one license,Product,low
I'm being charged for a plan I already downgraded from,Billing,high
"I cannot log into my account, it says invalid password",Technical,medium
Refund request for order #10051 that never arrived,Billing,medium
"Can you verify my account, the badge is missing",Account,low
Need to merge two accounts into one under newmail@example.com,Account,low
I'm being charged for a plan I already downgraded from,Billing,high
"Subscription renewed automatically without my consent - this is critical, please help ASAP",Billing,high
Unable to change my password from the settings page,Account,low
Payment failed but $19.99 was deducted from my account,Billing,medium
"I'm being charged for a plan I already downgraded from - this is critical, please help ASAP",Billing,high
"I cannot log into my account, it says invalid password - this is very time sensitive, please help ASAP",Technical,high
"Can I customize the reports dashboard layout - this is very time sensitive, please help ASAP",Product,medium
"Does the product support integration with Google Drive - this is urgent, please help ASAP",Product,medium
"Need a copy of my last six invoices for tax purposes - this is urgent, please help ASAP",Billing,high
My profile picture upload keeps failing,Account,low
Does the product support integration with Zapier,Product,medium
I forgot my username and need help recovering it,Account,low
Two-factor authentication code never arrives via email,Technical,medium
Does the product support integration with Google Drive,Product,medium
Please help me delete my account permanently,Account,medium
Why was I billed after canceling my Starter plan,Billing,low
Need a copy of my last twelve invoices for tax purposes,Billing,low
Does the product support integration with Zapier,Product,low
"Subscription renewed automatically without my consent - this is very time sensitive, please help ASAP",Billing,high
The mobile app is stuck on the loading screen since this morning,Technical,medium
Please help me delete my account permanently,Account,low
"My profile picture upload keeps failing - this is urgent, please help ASAP",Account,medium
"Page is loading extremely slowly on Edge - this is very time sensitive, please help ASAP",Technical,high
"I was charged twice for my Basic subscription this month - this is critical, please help ASAP",Billing,high
Is there a student discount available for the Basic tier,Product,medium
What file formats are supported for export,Product,medium
"Can you explain the extra $19.99 fee on my latest bill - this is very time sensitive, please help ASAP",Billing,high
The dashboard module throws an error every time I click save,Technical,medium
The billing module throws an error every time I click save,Technical,low
How many users can I add under one license,Product,low
Getting a 500 error when I try to upload a CSV file,Technical,medium
"What is the difference between the Pro and enterprise plans - this is urgent, please help ASAP",Product,medium
Payment failed but $12.00 was deducted from my account,Billing,medium
Can you explain the extra $19.99 fee on my latest bill,Billing,medium
How many users can I add under one license,Product,low
"Can you verify my account, the badge is missing",Account,low
I forgot my username and need help recovering it,Account,low
The discount code SUMMER25 did not apply to my order total,Billing,medium
Is there a student discount available for the Starter tier,Product,low
How many users can I add under one license,Product,low
How many users can I add under one license,Product,low
Is there a student discount available for the Premium tier,Product,medium
"The discount code SAVE10 did not apply to my order total - this is urgent, please help ASAP",Billing,high
"Can you explain the extra $12.00 fee on my latest bill - this is very time sensitive, please help ASAP",Billing,high
Need a copy of my last three invoices for tax purposes,Billing,medium
I'm being charged for a plan I already downgraded from,Billing,high
Why was I billed after canceling my Starter plan,Billing,low
Subscription renewed automatically without my consent,Billing,medium
What is the difference between the Enterprise and enterprise plans,Product,low
Refund request for order #10065 that never arrived,Billing,low
How do I update my shipping address to Delhi,Account,low
"My invoice shows an incorrect amount of $99.50, please fix it",Billing,medium
Subscription renewed automatically without my consent,Billing,low
Need a copy of my last three invoices for tax purposes,Billing,medium
Someone else may have accessed my account without permission,Account,medium
"What is the difference between the Premium and enterprise plans - this is very time sensitive, please help ASAP",Product,medium
"My account was suspended for no clear reason - this is very time sensitive, please help ASAP",Account,medium
Getting a 500 error when I try to upload a PDF file,Technical,medium
"Can I customize the analytics dashboard layout - this is critical, please help ASAP",Product,medium
Can I customize the billing dashboard layout,Product,medium
"Two-factor authentication code never arrives via email - this is very time sensitive, please help ASAP",Technical,high
